audio_filepath,tempo,genre,duration
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00001-1.wav,67.77,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00001-2.wav,67.77,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00002-1.wav,157.57,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00002-2.wav,157.57,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00003-1.wav,62.35,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00003-2.wav,62.35,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00004-1.wav,133.24,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00004-2.wav,133.24,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00005-1.wav,68.77,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00005-2.wav,68.77,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00006-1.wav,73.25,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00006-2.wav,73.25,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00007-1.wav,93.32,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00007-2.wav,93.32,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00008-1.wav,169.41,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00008-2.wav,169.41,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00009-1.wav,81.86,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00009-2.wav,81.86,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00010-1.wav,80.14,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00010-2.wav,80.14,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00011-1.wav,55.6,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00011-2.wav,55.6,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00012-1.wav,93.68,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00012-2.wav,93.68,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00013-1.wav,107.12,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00013-2.wav,107.12,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00014-1.wav,84.07,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00014-2.wav,84.07,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00015-1.wav,98.31,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00015-2.wav,98.31,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00016-1.wav,100.85,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00016-2.wav,100.85,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00017-1.wav,169.32,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00017-2.wav,169.32,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00018-1.wav,82.43,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00018-2.wav,82.43,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00019-1.wav,123.93,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00019-2.wav,123.93,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00020-1.wav,137.61,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00020-2.wav,137.61,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00021-1.wav,100.97,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00021-2.wav,100.97,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00022-1.wav,98.17,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00022-2.wav,98.17,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00023-1.wav,96.8,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00023-2.wav,96.8,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00024-1.wav,103.59,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00024-2.wav,103.59,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00025-1.wav,95.33,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00025-2.wav,95.33,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00026-1.wav,81.31,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00026-2.wav,81.31,blues,<function duration at 0x00000276FCAF1F70>
E:\TempoTransformer\data\GTZAN\songs\blues\blues.00027-1.wav,93.33,blues,<function duration at 0x00000276FCAF1F70>
